sp;BodyMass.Value;Nocturnal;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;PelagicSpecialist;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2;Diet.5Cat;Migrant
Schiffornis_virescens;25.6;0;0;0;0;100;0;0;0;0;2;NA;1.66E+12;Omnivore;0
Serpophaga_nigricans;8.5;0;0;0;60;40;0;0;0;0;3;NA;3.66E+12;Invertebrate;0
Serpophaga_subcristata;6.6;0;0;0;0;33;33;33;0;0;2.4;NA;5.56E+12;Invertebrate;0
Setophaga_pitiayumi;6.82;0;0;0;0;0;0;100;0;0;NA;NA;NA;Invertebrate;0
Sicalis_flaveola;15.4;0;0;0;40;60;0;0;0;0;3;NA;8.09E+12;PlantSeed;0
Sicalis_luteola;15.9;0;0;0;30;70;0;0;0;0;NA;NA;3.84E+12;PlantSeed;0
Sirystes_sibilator;32.3;0;0;0;0;0;0;100;0;0;NA;NA;4.18E+12;Invertebrate;0
Sittasomus_griseicapillus;13.12;0;0;0;0;0;50;50;0;0;2.5;NA;1.09E+13;Invertebrate;0
Spinus_magellanicus;13.6;0;0;0;33;33;33;0;0;0;4;NA;6.08E+12;PlantSeed;0
Spizaetus_tyrannus;1007.11;0;0;0;20;20;30;20;10;0;2;NA;7.47E+12;VertFishScav;0
Sporophila_angolensis;13;0;0;0;60;40;0;0;0;0;NA;NA;1.19E+13;PlantSeed;0
Sporophila_caerulescens;10.2;0;0;0;50;50;0;0;0;0;NA;NA;3.31E+12;PlantSeed;1
Sporophila_falcirostris;NA;0;0;0;100;0;0;0;0;0;NA;NA;2813931030;PlantSeed;0
Sporophila_frontalis;NA;0;0;0;100;0;0;0;0;0;NA;NA;87303478821;PlantSeed;0
Sporophila_leucoptera;15.5;0;0;0;70;30;0;0;0;0;NA;NA;3.78E+12;PlantSeed;0
Sporophila_lineola;9.8;0;0;0;30;70;0;0;0;0;2.5;NA;1.53E+12;PlantSeed;0
Sporophila_nigricollis;9.6;0;0;0;30;70;0;0;0;0;2.25;2;7.14E+12;PlantSeed;0
Stelgidopteryx_ruficollis;16.1;0;0;0;0;40;60;0;0;0;5.2;1;1.19E+12;Invertebrate;1
Stephanoxis_lalandi;4;0;0;0;0;60;20;10;10;0;2;NA;3.01E+11;FruiNect;0
Stilpnia_cayana;18;0;0;0;0;30;40;30;0;0;NA;NA;NA;FruiNect;0
Streptoprocne_zonaris;86.79;0;0;0;0;0;0;0;100;0;NA;NA;NA;Invertebrate;0
Strix_huhula;370;1;0;0;10;10;10;70;0;0;1;NA;NA;Invertebrate;0
Synallaxis_cinerascens;13.1;0;0;0;50;50;0;0;0;0;3;NA;1.22E+12;Invertebrate;0
Synallaxis_ruficapilla;13.8;0;0;0;20;60;20;0;0;0;2.4;NA;1.17E+12;Invertebrate;0
Synallaxis_spixi;12.6;0;0;0;20;80;0;0;0;0;3.9;NA;1.34E+12;Invertebrate;0
Syrigma_sibilatrix;463;0;30;70;0;0;0;0;0;0;4;NA;4.24E+12;Invertebrate;0
Tachycineta_leucorrhoa;15.3;0;0;0;0;80;20;0;0;0;5.3;NA;5.02E+12;Invertebrate;0
Tachyphonus_coronatus;29.3;0;0;0;0;20;40;40;0;0;NA;NA;1.49E+12;Invertebrate;0
Tangara_cyanoventris;16.5;0;0;0;0;20;40;40;0;0;NA;NA;4.76E+11;Omnivore;0
Tapera_naevia;48.42;0;0;0;50;30;20;0;0;0;NA;NA;NA;Invertebrate;0
Terenura_maculata;6.5;0;0;0;0;0;70;30;0;0;NA;NA;7.84E+11;Invertebrate;0
Tersina_viridis;29;0;0;0;0;10;60;30;0;0;2.5;1.5;8.76E+12;FruiNect;1
Thalurania_glaucopis;4.8;0;0;0;0;60;40;0;0;0;2;NA;1.42E+12;FruiNect;0
Thamnophilus_caerulescens;21.1;0;0;0;0;60;40;0;0;0;2.4;NA;3.97E+12;Invertebrate;0
Thamnophilus_ruficapillus;20.4;0;0;0;0;20;80;0;0;0;2.4;NA;1.39E+12;Invertebrate;0
Theristicus_caudatus;1726;0;0;0;100;0;0;0;0;0;2.9;NA;5.15E+12;Invertebrate;0
Thlypopsis_sordida;17;0;0;0;0;0;70;30;0;0;2;NA;6.84E+12;Omnivore;0
Thraupis_ornata;33;0;0;0;10;10;20;60;0;0;NA;NA;NA;FruiNect;0
Thraupis_palmarum;39;0;0;0;0;0;20;70;10;0;NA;NA;NA;FruiNect;0
Thraupis_sayaca;32.49;0;0;0;10;0;20;70;0;0;NA;NA;NA;Omnivore;0
Tigrisoma_lineatum;812.99;0;0;80;20;0;0;0;0;0;2;NA;1.32E+13;Invertebrate;0
Tityra_cayana;68.1;0;0;0;0;50;50;0;0;0;3;NA;5.11E+12;FruiNect;0
Tityra_inquisitor;43.1;0;0;0;0;0;100;0;0;0;3;NA;766976987.7;FruiNect;0
Todirostrum_cinereum;6.29;0;0;0;0;33;33;33;0;0;NA;NA;NA;Invertebrate;0
Todirostrum_poliocephalum;6.96;0;0;0;0;40;60;0;0;0;NA;NA;4.65E+11;Invertebrate;0
Tolmomyias_sulphurescens;14.3;0;0;0;0;30;70;0;0;0;NA;NA;NA;Invertebrate;0
Trichothraupis_melanops;22.58;0;0;0;30;30;20;10;10;0;3;NA;2.47E+12;Invertebrate;0
Troglodytes_aedon;10.85;0;0;0;0;100;0;0;0;0;NA;NA;NA;Invertebrate;0
Trogon_surrucura;73.29;0;0;0;0;0;100;0;0;0;3;NA;1.37E+12;Invertebrate;0
Turdus_albicollis;54;0;0;0;80;0;20;0;0;0;2.4;3;8.53E+12;Invertebrate;0
Turdus_amaurochalinus;57.9;0;0;0;20;20;30;30;0;0;3;NA;4.48E+12;FruiNect;1
Turdus_flavipes;65.14;0;0;0;10;30;30;30;0;0;NA;NA;9.09E+11;FruiNect;1
Turdus_leucomelas;69.1;0;0;0;60;20;20;0;0;0;3;3;7.69E+12;Invertebrate;0
Turdus_rufiventris;69.44;0;0;0;100;0;0;0;0;0;3.2;NA;5.03E+12;Omnivore;0
Turdus_subalaris;49.5;0;0;0;20;40;40;0;0;0;3;NA;1.63E+12;FruiNect;1
Tyrannus_melancholicus;37.4;0;0;0;0;0;50;50;0;0;NA;NA;NA;Invertebrate;1
Tyrannus_savana;31.9;0;0;0;50;50;0;0;0;0;2.45;NA;1.70E+12;Invertebrate;1
Tyto_alba;403.32;1;0;0;90;10;0;0;0;0;NA;NA;NA;VertFishScav;0
Vanellus_chilensis;327;0;0;20;80;0;0;0;0;0;4;NA;1.33E+13;Invertebrate;0
Vireo_chivi;16.06;0;0;0;0;0;20;80;0;0;3;NA;2.80E+12;InvertebrateFrui;0
Volatinia_jacarina;10.2;0;0;0;100;0;0;0;0;0;NA;NA;NA;Omnivore;0
Xenops_rutilans;11.2;0;0;0;0;20;80;0;0;0;2.5;NA;NA;Invertebrate;0
Xiphocolaptes_albicollis;118;0;0;0;0;0;100;0;0;0;2;NA;2.10E+12;Invertebrate;0
Xiphorhynchus_fuscus;21.8;0;0;0;0;50;50;0;0;0;2.2;NA;1.95E+12;Invertebrate;0
Xolmis_cinereus;57.1;0;0;0;100;0;0;0;0;0;2.4;NA;6.89E+12;Invertebrate;0
Xolmis_velatus;49.08;0;0;0;100;0;0;0;0;0;NA;NA;3.62E+12;Invertebrate;0
Zenaida_auriculata;110.2;0;0;0;20;20;40;20;0;0;NA;NA;NA;PlantSeed;1
Zonotrichia_capensis;20.31;0;0;0;100;0;0;0;0;0;NA;NA;NA;PlantSeed;0
