	sp	BodyMass.Value	Nocturnal	ForStrat.watbelowsurf	ForStrat.wataroundsurf	ForStrat.ground	ForStrat.understory	ForStrat.midhigh	ForStrat.canopy	ForStrat.aerial	PelagicSpecialist	litter_or_clutch_size_n	litters_or_clutches_per_y	range_m2
202	Muscipipra_vetula	27	0	0	0	100	0	0	0	0	0	3	NA	8.28E+11
203	Myiarchus_ferox	27.5	0	0	0	0	80	20	0	0	0	2.2	NA	1.19E+13
204	Myiarchus_swainsoni	25.1	0	0	0	0	100	0	0	0	0	3.5	NA	5.88E+12
205	Myiarchus_swainsoni	25.1	0	0	0	0	100	0	0	0	0	3.5	NA	5.20E+12
206	Myiarchus_tyrannulus	35.45	0	0	0	20	80	0	0	0	0	3.95	1	9.18E+12
207	Myiobius_barbatus	11.9	0	0	0	0	30	70	0	0	0	2	NA	6.23E+12
208	Myiodynastes_maculatus	43.2	0	0	0	0	0	100	0	0	0	2.5	NA	4.28E+12
209	Myiopagis_caniceps	10.5	0	0	0	0	0	0	100	0	0	2	NA	2.65E+12
210	Myiophobus_fasciatus	9.9	0	0	0	0	100	0	0	0	0	2	NA	1.00E+13
211	Myiothlypis_leucoblephara	15.1	0	0	0	50	50	0	0	0	0	NA	NA	1.57E+12
212	Myiozetetes_similis	28	0	0	0	20	20	40	20	0	0	3	NA	9.26E+12
213	Myrmoderus_squamosus	18.5	0	0	0	80	20	0	0	0	0	NA	NA	2.42E+11
214	Nemosia_pileata	16	0	0	0	0	30	70	0	0	0	2	NA	8.99E+12
215	Nyctibius_griseus	172.04	1	0	0	0	0	90	0	10	0	1	1	1.38E+13
216	Nycticorax_nycticorax	810	0	0	50	50	0	0	0	0	0	NA	NA	NA
217	Nyctidromus_albicollis	57.84	1	0	0	40	30	20	0	10	0	NA	NA	NA
218	Nyctiphrynus_ocellatus	39.6	1	0	0	0	10	10	10	70	0	NA	NA	NA
219	Nystalus_chacuru	52.3	0	0	0	33	33	33	0	0	0	2.8	NA	4.33E+12
220	Pachyramphus_castaneus	19.5	0	0	0	0	0	100	0	0	0	NA	NA	5.79E+12
221	Pachyramphus_polychopterus	20.8	0	0	0	0	0	100	0	0	0	NA	NA	NA
222	Pachyramphus_validus	43	0	0	0	0	50	50	0	0	0	4	NA	6.06E+12
223	Pachyramphus_viridis	21	0	0	0	0	50	50	0	0	0	2.8	NA	4.96E+12
224	Pardirallus_nigricans	217	0	0	60	40	0	0	0	0	0	3	NA	3.25E+12
225	Passer_domesticus	26.51	0	0	0	50	50	0	0	0	0	NA	NA	NA
226	Patagioenas_cayennensis	229	0	0	0	20	0	40	40	0	0	NA	NA	NA
227	Patagioenas_picazuro	279	0	0	0	30	30	30	10	0	0	1	NA	5.83E+12
228	Patagioenas_plumbea	178.77	0	0	0	0	0	30	70	0	0	1	NA	6.56E+12
229	Penelope_obscura	1770	0	0	0	30	30	30	10	0	0	3	NA	1.01E+12
230	Phacellodomus_erythrophthalmus	24.5	0	0	0	0	100	0	0	0	0	3	NA	3.95E+11
231	Phacellodomus_ferrugineigula	24.5	0	0	0	0	100	0	0	0	0	2	NA	5.87E+11
232	Phaethornis_eurynome	5.3	0	0	0	0	100	0	0	0	0	2	NA	9.34E+11
233	Phaethornis_pretrei	5.6	0	0	0	0	100	0	0	0	0	2	NA	3.74E+12
234	Phaethornis_squalidus	3.4	0	0	0	0	100	0	0	0	0	2	NA	2.72E+11
235	Phalacrocorax_brasilianus	1239.29	0	100	0	0	0	0	0	0	0	NA	NA	NA
236	Phibalura_flavirostris	46.5	0	0	0	0	0	100	0	0	0	2.2	NA	1.22E+11
237	Phibalura_flavirostris	46.5	0	0	0	0	0	100	0	0	0	2.2	NA	9.63E+11
238	Phimosus_infuscatus	559	0	0	80	20	0	0	0	0	0	3.75	NA	6.59E+12
239	Phyllomyias_burmeisteri	11.1	0	0	0	0	0	100	0	0	0	NA	NA	NA
240	Phyllomyias_fasciatus	10.3	0	0	0	0	0	0	100	0	0	2	NA	3.91E+12
241	Phyllomyias_griseocapilla	8	0	0	0	0	70	30	0	0	0	2	NA	1.90E+11
242	Phyllomyias_virescens	8.2	0	0	0	0	10	50	40	0	0	2	NA	1.03E+12
243	Phylloscartes_ventralis	8.3	0	0	0	0	0	100	0	0	0	NA	NA	1.59E+12
244	Piaya_cayana	101.98	0	0	0	0	0	20	80	0	0	2	NA	1.34E+13
245	Piculus_aurulentus	74.99	0	0	0	0	0	100	0	0	0	NA	NA	7.49E+11
246	Picumnus_cirratus	10.2	0	0	0	0	50	50	0	0	0	2.4	NA	2.35E+12
247	Picumnus_temminckii	11.5	0	0	0	0	80	20	0	0	0	2	NA	5.15E+11
248	Pionus_maximiliani	293	0	0	0	0	30	50	20	0	0	4	NA	4.53E+12
249	Pipile_jacutinga	1240.96	0	0	0	20	0	40	40	0	0	3	NA	8.94E+11
250	Pipile_jacutinga	1240.96	0	0	0	20	0	40	40	0	0	3	NA	1.69E+11
251	Pipraeidea_melanonota	21	0	0	0	0	10	20	60	10	0	2	NA	2.11E+12
252	Pitangus_sulphuratus	11.1	0	0	0	0	0	100	0	0	0	NA	NA	NA
253	Platyrinchus_mystaceus	9.7	0	0	0	0	80	20	0	0	0	2	NA	95934600.53
254	Platyrinchus_mystaceus	9.7	0	0	0	0	80	20	0	0	0	2	NA	5.07E+12
255	Podilymbus_podiceps	411.93	0	100	0	0	0	0	0	0	0	NA	NA	NA
256	Poecilotriccus_plumbeiceps	5.7	0	0	0	0	100	0	0	0	0	2.4	NA	1.48E+12
257	Polytmus_guainumbi	5.2	0	0	0	0	100	0	0	0	0	2	NA	4.84E+12
258	Procnias_nudicollis	172.04	0	0	0	0	50	50	0	0	0	1	NA	1.47E+12
259	Progne_chalybea	42.9	0	0	0	20	20	20	20	20	0	NA	NA	NA
260	Progne_tapera	32	0	0	0	0	30	20	20	30	0	4	NA	6.27E+12
261	Progne_tapera	32	0	0	0	0	30	20	20	30	0	4	NA	8.24E+12
262	Progne_tapera	32	0	0	0	0	30	20	20	30	0	4	NA	43483186332
263	Psarocolius_decumanus	206.3	0	0	0	10	0	50	40	0	0	1.5	NA	1.05E+13
264	Pseudastur_polionotus	595.5	0	0	0	100	0	0	0	0	0	NA	NA	8.13E+11
265	Pseudoleistes_guirahuro	86.42	0	0	0	100	0	0	0	0	0	NA	NA	2.14E+12
266	Psilorhamphus_guttatus	11.3	0	0	0	10	60	30	0	0	0	NA	NA	4.11E+11
267	Psittacara_leucophthalmus	158	0	0	0	20	20	40	20	0	0	3.5	NA	8.73E+12
268	Pulsatrix_koeniswaldiana	481	1	0	0	20	30	30	20	0	0	2	NA	6.52E+11
269	Pygochelidon_cyanoleuca	9.7	0	0	0	0	0	100	0	0	0	NA	NA	8.47E+12
270	Pyriglena_leucoptera	28.8	0	0	0	40	40	20	0	0	0	2	NA	1.23E+12
271	Pyrocephalus_rubinus	14.4	0	0	0	0	50	50	0	0	0	NA	NA	NA
272	Pyroderus_scutatus	357	0	0	0	0	50	50	0	0	0	1	NA	2.12E+12
273	Pyrrhura_frontalis	72	0	0	0	0	30	50	20	0	0	5.5	NA	1.70E+12
274	Ramphastos_dicolorus	331	0	0	0	20	0	0	80	0	0	2.9	NA	1.39E+12
275	Ramphastos_toco	617.99	0	0	0	20	10	10	60	0	0	2.9	NA	4.57E+12
276	Ramphastos_vitellinus	360.36	0	0	0	10	10	50	30	0	0	3	NA	1.75E+12
277	Ramphastos_vitellinus	360.36	0	0	0	10	10	50	30	0	0	3	NA	1.75E+12
278	Ramphocelus_bresilius	32.9	0	0	0	0	70	30	0	0	0	2.5	NA	3.78E+11
279	Ramphodon_naevius	7.9	0	0	0	0	100	0	0	0	0	NA	NA	9.822.345.879
280	Ramphodon_naevius	7.9	0	0	0	0	100	0	0	0	0	NA	NA	2.20E+11
281	Ramphotrigon_megacephalum	14.2	0	0	0	0	50	50	0	0	0	2	NA	2.27E+12
282	Rhopias_gularis	8.7	0	0	0	0	80	20	0	0	0	2	NA	5.01E+11
283	Rhynchotus_rufescens	843.47	0	0	0	80	20	0	0	0	0	8	NA	5.67E+12
284	Rostrhamus_sociabilis	366.94	0	0	0	100	0	0	0	0	0	3	1.5	9.11E+11
285	Rupornis_magnirostris	269	0	0	0	33	33	33	0	0	0	2	NA	1785758356
286	Rupornis_magnirostris	269	0	0	0	33	33	33	0	0	0	2	NA	5466357726
287	Saltator_maxillosus	50.8	0	0	0	0	30	30	40	0	0	2.5	NA	4.37E+11
288	Saltator_similis	43.3	0	0	0	0	70	30	0	0	0	NA	NA	3.78E+12
289	Sarcoramphus_papa	3400	0	0	0	100	0	0	0	0	0	NA	NA	NA
290	Satrapa_icterophrys	21.5	0	0	0	0	60	40	0	0	0	2.8	NA	6.57E+12
291	Satrapa_icterophrys	21.5	0	0	0	0	60	40	0	0	0	2.8	NA	1.46E+12
292	Schiffornis_virescens	25.6	0	0	0	0	100	0	0	0	0	2	NA	1.66E+12
293	Serpophaga_nigricans	8.5	0	0	0	60	40	0	0	0	0	3	NA	3.66E+12
294	Serpophaga_subcristata	6.6	0	0	0	0	33	33	33	0	0	2.4	NA	5.56E+12
295	Setophaga_pitiayumi	6.82	0	0	0	0	0	0	100	0	0	NA	NA	NA
296	Sicalis_flaveola	15.4	0	0	0	40	60	0	0	0	0	3	NA	8.09E+12
297	Sicalis_luteola	15.9	0	0	0	30	70	0	0	0	0	NA	NA	3.84E+12
298	Sirystes_sibilator	32.3	0	0	0	0	0	0	100	0	0	NA	NA	4.18E+12
299	Sittasomus_griseicapillus	13.12	0	0	0	0	0	50	50	0	0	2.5	NA	1.09E+13
300	Spinus_magellanicus	13.6	0	0	0	33	33	33	0	0	0	4	NA	6.08E+12
301	Spizaetus_tyrannus	1007.11	0	0	0	20	20	30	20	10	0	2	NA	7.47E+12
302	Sporophila_angolensis	13	0	0	0	60	40	0	0	0	0	NA	NA	1.19E+13
303	Sporophila_caerulescens	10.2	0	0	0	50	50	0	0	0	0	NA	NA	3.31E+12
304	Sporophila_falcirostris	NA	0	0	0	100	0	0	0	0	0	NA	NA	2813931030
305	Sporophila_frontalis	NA	0	0	0	100	0	0	0	0	0	NA	NA	87303478821
